| Day                            | Time                           | Campus                         | Building & Room                |
| Thursday                       | 1550 - 1710                    | COLLEGE AVENUE                 | FH-B4                          |
| Monday                         | 1740 - 1900                    | LIVINGSTON                     | LSH-AUD                        |
| Wednesday                      | 1740 - 1900                    | LIVINGSTON                     | LSH-AUD                        |
| Monday                         | 1210 - 1330                    | DOUGLAS/COOK                   | RAB-207                        |
| Thursday                       | 1210 - 1330                    | DOUGLAS/COOK                   | RAB-207                        |
| Monday                         | 1740 - 1900                    | COLLEGE AVENUE                 | HH-B6                          |
| Wednesday                      | 1740 - 1900                    | COLLEGE AVENUE                 | HH-B6                          |
| Monday                         | 1020 - 1140                    | DOUGLAS/COOK                   | ARH-100                        |
| Thursday                       | 1020 - 1140                    | DOUGLAS/COOK                   | ARH-100                        |
| Tuesday                        | 1740 - 1900                    | DOUGLAS/COOK                   | RAB-001                        |
| Thursday                       | 1740 - 1900                    | DOUGLAS/COOK                   | RAB-001                        |
| Thursday                       | 1930 - 2050                    | DOUGLAS/COOK                   | RAB-001                        |
| Friday                         | 1400 - 1520                    | LIVINGSTON                     | AAC-202                        |
| Friday                         | 1400 - 1520                    | LIVINGSTON                     | TIL-103A                       |
| Tuesday                        | 1210 - 1330                    | DOUGLAS/COOK                   | RAB-018                        |
| Thursday                       | 1210 - 1330                    | DOUGLAS/COOK                   | RAB-018                        |
| Tuesday                        | 1550 - 1710                    | DOUGLAS/COOK                   | RAB-018                        |
| Thursday                       | 1550 - 1710                    | DOUGLAS/COOK                   | RAB-018                        |
| Monday                         | 0830 - 0950                    | COLLEGE AVENUE                 | HC-S124                        |
| Thursday                       | 0830 - 0950                    | COLLEGE AVENUE                 | HC-S124                        |
| Monday                         | 1020 - 1320                    | COLLEGE AVENUE                 | SC-116                         |
| Tuesday                        | 0830 - 1130                    | DOUGLAS/COOK                   | HCK-132                        |
| Monday                         | 0830 - 1130                    | DOUGLAS/COOK                   | RAB-105                        |
| Tuesday                        | 1740 - 1900                    | COLLEGE AVENUE                 | HH-B6                          |
| Thursday                       | 1740 - 1900                    | COLLEGE AVENUE                 | HH-B6                          |
| Monday                         | 1550 - 1710                    | COLLEGE AVENUE                 | CA-A4                          |
| Wednesday                      | 1550 - 1710                    | COLLEGE AVENUE                 | CA-A4                          |
| Wednesday                      | 1400 - 1700                    | DOUGLAS/COOK                   | RAB-018                        |
| Tuesday                        | 1550 - 1710                    | COLLEGE AVENUE                 | HH-A2                          |
| Thursday                       | 1550 - 1710                    | COLLEGE AVENUE                 | HH-A2                          |
| Wednesday                      | 1550 - 1850                    | DOUGLAS/COOK                   | RAB-105                        |
| Monday                         | 1740 - 2040                    | DOUGLAS/COOK                   | RAB-018                        |
| Tuesday                        | 1550 - 1850                    | DOUGLAS/COOK                   | RAB-105                        |
| Tuesday                        | 1400 - 1520                    | DOUGLAS/COOK                   | RAB-001                        |
| Tuesday                        | 1550 - 1710                    | DOUGLAS/COOK                   | HCK-115                        |
| Tuesday                        | 1400 - 1520                    | DOUGLAS/COOK                   | RAB-001                        |
| Thursday                       | 1400 - 1520                    | DOUGLAS/COOK                   | HCK-207                        |
| Tuesday                        | 1400 - 1520                    | DOUGLAS/COOK                   | RAB-001                        |
| Thursday                       | 1020 - 1140                    | DOUGLAS/COOK                   | RAB-209A                       |
| Tuesday                        | 1400 - 1520                    | DOUGLAS/COOK                   | RAB-001                        |
| Thursday                       | 1400 - 1520                    | DOUGLAS/COOK                   | RAB-209A                       |
| Monday                         | 1400 - 1520                    | DOUGLAS/COOK                   | RAB-001                        |
| Wednesday                      | 1400 - 1520                    | DOUGLAS/COOK                   | RAB-001                        |
| Tuesday                        | 1020 - 1140                    | DOUGLAS/COOK                   | BIO-302                        |
| Monday                         | 1400 - 1520                    | DOUGLAS/COOK                   | RAB-001                        |
| Wednesday                      | 1400 - 1520                    | DOUGLAS/COOK                   | RAB-001                        |
| Tuesday                        | 1210 - 1330                    | DOUGLAS/COOK                   | BIO-302                        |
| Monday                         | 1400 - 1520                    | DOUGLAS/COOK                   | RAB-001                        |
| Wednesday                      | 1400 - 1520                    | DOUGLAS/COOK                   | RAB-001                        |
| Wednesday                      | 1020 - 1140                    | DOUGLAS/COOK                   | BIO-302                        |
| Monday                         | 1400 - 1520                    | DOUGLAS/COOK                   | RAB-001                        |
| Wednesday                      | 1400 - 1520                    | DOUGLAS/COOK                   | RAB-001                        |
| Wednesday                      | 1740 - 1900                    | DOUGLAS/COOK                   | BIO-302                        |
| Monday                         | 1400 - 1520                    | DOUGLAS/COOK                   | RAB-001                        |
| Wednesday                      | 1400 - 1520                    | DOUGLAS/COOK                   | RAB-001                        |
| Thursday                       | 1020 - 1140                    | DOUGLAS/COOK                   | BIO-302                        |
| Monday                         | 1400 - 1520                    | DOUGLAS/COOK                   | RAB-001                        |
| Wednesday                      | 1400 - 1520                    | DOUGLAS/COOK                   | RAB-001                        |
| Thursday                       | 1550 - 1710                    | DOUGLAS/COOK                   | BIO-302                        |
| Monday                         | 1400 - 1520                    | DOUGLAS/COOK                   | RAB-001                        |
| Wednesday                      | 1400 - 1520                    | DOUGLAS/COOK                   | RAB-001                        |
| Tuesday                        | 1400 - 1520                    | DOUGLAS/COOK                   | BIO-302                        |
| Tuesday                        | 1210 - 1330                    | DOUGLAS/COOK                   | RAB-001                        |
| Friday                         | 1210 - 1330                    | DOUGLAS/COOK                   | RAB-001                        |
| Thursday                       | 1930 - 2050                    | DOUGLAS/COOK                   | BIO-206                        |
| Tuesday                        | 1210 - 1330                    | DOUGLAS/COOK                   | RAB-001                        |
| Friday                         | 1210 - 1330                    | DOUGLAS/COOK                   | RAB-001                        |
| Wednesday                      | 1400 - 1520                    | DOUGLAS/COOK                   | BIO-206                        |
| Tuesday                        | 1210 - 1330                    | DOUGLAS/COOK                   | RAB-001                        |
| Friday                         | 1210 - 1330                    | DOUGLAS/COOK                   | RAB-001                        |
| Wednesday                      | 1020 - 1140                    | DOUGLAS/COOK                   | BIO-206                        |
| Tuesday                        | 1210 - 1330                    | DOUGLAS/COOK                   | RAB-001                        |
| Friday                         | 1210 - 1330                    | DOUGLAS/COOK                   | RAB-001                        |
| Friday                         | 1020 - 1140                    | DOUGLAS/COOK                   | BIO-206                        |
| Tuesday                        | 1210 - 1330                    | DOUGLAS/COOK                   | RAB-001                        |
| Friday                         | 1210 - 1330                    | DOUGLAS/COOK                   | RAB-001                        |
| Thursday                       | 1210 - 1330                    | DOUGLAS/COOK                   | BIO-206                        |
| Monday                         | 1400 - 1520                    | DOUGLAS/COOK                   | LOR-020                        |
| Tuesday                        | 1020 - 1140                    | DOUGLAS/COOK                   | RAB-003                        |
| Monday                         | 1400 - 1520                    | DOUGLAS/COOK                   | LOR-020                        |
| Monday                         | 1550 - 1710                    | DOUGLAS/COOK                   | HCK-132                        |
| Monday                         | 1400 - 1520                    | DOUGLAS/COOK                   | LOR-020                        |
| Wednesday                      | 1020 - 1140                    | DOUGLAS/COOK                   | RAB-109B                       |
| Monday                         | 1400 - 1520                    | DOUGLAS/COOK                   | LOR-020                        |
| Tuesday                        | 1210 - 1330                    | DOUGLAS/COOK                   | RAB-003                        |
| Monday                         | 1400 - 1520                    | DOUGLAS/COOK                   | LOR-020                        |
| Wednesday                      | 1400 - 1520                    | DOUGLAS/COOK                   | RAB-209A                       |
| Tuesday                        | 1020 - 1320                    | DOUGLAS/COOK                   | BIO-206                        |
| Thursday                       | 1740 - 2040                    | DOUGLAS/COOK                   | BIO-302                        |
| Thursday                       | 1210 - 1510                    | DOUGLAS/COOK                   | BIO-315                        |
| Monday                         | 1210 - 1510                    | DOUGLAS/COOK                   | BIO-302                        |
| Monday                         | 1400 - 1700                    | DOUGLAS/COOK                   | BIO-315                        |
| Tuesday                        | 1400 - 1700                    | DOUGLAS/COOK                   | BIO-206                        |
| Tuesday                        | 1400 - 1700                    | DOUGLAS/COOK                   | BIO-206                        |
| Monday                         | 1550 - 1710                    | DOUGLAS/COOK                   | LOR-022                        |
| Wednesday                      | 1550 - 1710                    | DOUGLAS/COOK                   | LOR-022                        |
| Monday                         | 1550 - 1710                    | DOUGLAS/COOK                   | BIO-206                        |
| Wednesday                      | 1550 - 1710                    | DOUGLAS/COOK                   | BIO-206                        |
| Tuesday                        | 1020 - 1320                    | DOUGLAS/COOK                   | RAB-110B                       |
| Monday                         | 1210 - 1510                    | DOUGLAS/COOK                   | BIO-206                        |
| Monday                         | 1400 - 1700                    | DOUGLAS/COOK                   | BIO-205                        |
| Monday                         | 1210 - 1330                    | DOUGLAS/COOK                   | BIO-205                        |
| Thursday                       | 1210 - 1330                    | DOUGLAS/COOK                   | BIO-205                        |
| Tuesday                        | 1400 - 1700                    | DOUGLAS/COOK                   | BIO-205                        |
| Tuesday                        | 1210 - 1330                    | COLLEGE AVENUE                 | SC-201                         |
| Friday                         | 1210 - 1330                    | COLLEGE AVENUE                 | SC-201                         |
| Monday                         | 1020 - 1140                    | DOUGLAS/COOK                   | HCK-122                        |
| Thursday                       | 1020 - 1140                    | DOUGLAS/COOK                   | HCK-122                        |
| Tuesday                        | 1400 - 1700                    | COLLEGE AVENUE                 | SC-121                         |
| Wednesday                      | 1550 - 1850                    | DOUGLAS/COOK                   | RAB-209A                       |
| Tuesday                        | 1020 - 1140                    | DOUGLAS/COOK                   | RAB-207                        |
| Friday                         | 1020 - 1140                    | DOUGLAS/COOK                   | RAB-207                        |
| Monday                         | 1020 - 1140                    | DOUGLAS/COOK                   | BIO-205                        |
| Thursday                       | 1020 - 1140                    | DOUGLAS/COOK                   | BIO-205                        |
| Monday                         | 1550 - 1850                    | DOUGLAS/COOK                   | RAB-003                        |
| Monday                         | 1020 - 1140                    | DOUGLAS/COOK                   | BIO-206                        |
| Thursday                       | 1020 - 1140                    | DOUGLAS/COOK                   | BIO-206                        |
| Monday                         | 1550 - 1710                    | DOUGLAS/COOK                   | BIO-302                        |
| Wednesday                      | 1550 - 1710                    | DOUGLAS/COOK                   | BIO-302                        |
| Tuesday                        | 1020 - 1140                    | DOUGLAS/COOK                   | BIO-201A                       |
| Friday                         | 1020 - 1140                    | DOUGLAS/COOK                   | BIO-201A                       |
| Tuesday                        | 1210 - 1330                    | DOUGLAS/COOK                   | BIO-201A                       |
| Friday                         | 1210 - 1330                    | DOUGLAS/COOK                   | BIO-201A                       |
| Thursday                       | 1210 - 1510                    | DOUGLAS/COOK                   | HCK-132                        |
| Tuesday                        | 1740 - 1900                    | DOUGLAS/COOK                   | BIO-206                        |
| Thursday                       | 1740 - 1900                    | DOUGLAS/COOK                   | BIO-206                        |
| Thursday                       | 1400 - 1700                    | DOUGLAS/COOK                   | RAB-003                        |
| Tuesday                        | 1020 - 1320                    | DOUGLAS/COOK                   | RAB-110A                       |
| Friday                         | 1020 - 1140                    | DOUGLAS/COOK                   | -                              |
| Monday                         | 1740 - 1900                    | COLLEGE AVENUE                 | SC-120                         |
| Wednesday                      | 1740 - 1900                    | COLLEGE AVENUE                 | SC-120                         |
| Monday                         | 1400 - 1520                    | COLLEGE AVENUE                 | AB-1100                        |
| Wednesday                      | 1400 - 1520                    | COLLEGE AVENUE                 | AB-1100                        |
| Tuesday                        | 1400 - 1520                    | COLLEGE AVENUE                 | MU-212                         |
| Thursday                       | 1400 - 1520                    | COLLEGE AVENUE                 | MU-212                         |
| Tuesday                        | 1550 - 1710                    | COLLEGE AVENUE                 | HH-B4                          |
| Thursday                       | 1550 - 1710                    | COLLEGE AVENUE                 | HH-B4                          |
| Monday                         | 1400 - 1520                    | COLLEGE AVENUE                 | MU-213                         |
| Wednesday                      | 1400 - 1520                    | COLLEGE AVENUE                 | MU-213                         |
| Tuesday                        | 1210 - 1330                    | LIVINGSTON                     | LSH-B123                       |
| Monday                         | 1740 - 1900                    | DOWNTOWN NB                    | SPR-402                        |
| Wednesday                      | 1740 - 1900                    | DOWNTOWN NB                    | SPR-402                        |
| Wednesday                      | 1020 - 1320                    | COLLEGE AVENUE                 | ZAM-MPR                        |
| Tuesday                        | 1740 - 1900                    | DOUGLAS/COOK                   | ARH-100                        |
| Thursday                       | 1740 - 1900                    | DOUGLAS/COOK                   | ARH-100                        |
| Tuesday                        | 1550 - 1710                    | COLLEGE AVENUE                 | VD-211                         |
| Thursday                       | 1550 - 1710                    | COLLEGE AVENUE                 | VD-211                         |
| Monday                         | 1400 - 1520                    | COLLEGE AVENUE                 | ZAM-MPR                        |
| Wednesday                      | 1400 - 1520                    | COLLEGE AVENUE                 | ZAM-MPR                        |
| Wednesday                      | 1020 - 1320                    | COLLEGE AVENUE                 | ZAM-EDR                        |
| Monday                         | 1550 - 1710                    | COLLEGE AVENUE                 | VH-104                         |
| Wednesday                      | 1550 - 1710                    | COLLEGE AVENUE                 | VH-104                         |
| Monday                         | 1210 - 1510                    | COLLEGE AVENUE                 | ZAM-EDR                        |
| Monday                         | 1020 - 1140                    | COLLEGE AVENUE                 | ZAM-MPR                        |
| Thursday                       | 1020 - 1140                    | COLLEGE AVENUE                 | ZAM-MPR                        |
| Tuesday                        | 1020 - 1140                    | COLLEGE AVENUE                 | VH-001                         |
| Friday                         | 1020 - 1140                    | COLLEGE AVENUE                 | VH-001                         |
| Tuesday                        | 1400 - 1520                    | COLLEGE AVENUE                 | ZAM-MPR                        |
| Thursday                       | 1400 - 1520                    | COLLEGE AVENUE                 | ZAM-MPR                        |
| Monday                         | 1740 - 1900                    | COLLEGE AVENUE                 | AB-1170                        |
| Wednesday                      | 1740 - 1900                    | COLLEGE AVENUE                 | AB-1170                        |
| Thursday                       | 1210 - 1510                    | COLLEGE AVENUE                 | ZAM-EDR                        |
| Tuesday                        | 1400 - 1700                    | COLLEGE AVENUE                 | VH-001                         |
| Monday                         | 1020 - 1140                    | BUSCH                          | SEC-218                        |
| Monday                         | 1020 - 1140                    | DOWNTOWN NB                    | MEB-102                        |
| Wednesday                      | 1020 - 1140                    | COLLEGE AVENUE                 | HC-E128                        |
| Wednesday                      | 1210 - 1330                    | COLLEGE AVENUE                 | ED-025B                        |
| Monday                         | 1550 - 1710                    | COLLEGE AVENUE                 | SC-121                         |
| Monday                         | 1210 - 1330                    | LIVINGSTON                     | BE-251                         |
| Monday                         | 1400 - 1520                    | BUSCH                          | EN-C115                        |
