| Day                            | Time                           | Campus                         | Building & Room                |
| Saturday                       | 8:00 AM - 5:00 PM              | Busch                          | ARC-108                        |
| Monday                         | 2:00 PM - 3:20 PM              | Livingston                     | TIL-252                        |
| Wednesday                      | 2:00 PM - 3:20 PM              | Livingston                     | TIL-252                        |
| Monday                         | 8:30 AM - 9:50 AM              | Livingston                     | LSH-A139                       |
| Thursday                       | 8:30 AM - 9:50 AM              | Livingston                     | LSH-A139                       |
| Monday                         | 2:00 PM - 3:20 PM              | Livingston                     | TIL-252                        |
| Wednesday                      | 2:00 PM - 3:20 PM              | Livingston                     | TIL-252                        |
| Monday                         | 8:30 AM - 9:50 AM              | Livingston                     | LSH-A139                       |
| Thursday                       | 8:30 AM - 9:50 AM              | Livingston                     | LSH-A139                       |
| Monday                         | 7:30 PM - 8:50 PM              | Busch                          | ARC-206                        |
| Thursday                       | 8:30 AM - 9:50 AM              | Livingston                     | TIL-123                        |
| Wednesday                      | 12:10 PM - 1:30 PM             | Livingston                     | TIL-257                        |
| Wednesday                      | 5:40 PM - 7:00 PM              | Livingston                     | LSH-B105                       |
| Friday                         | 2:00 PM - 3:20 PM              | Livingston                     | TIL-224                        |
| Tuesday                        | 12:10 PM - 1:30 PM             | Livingston                     | BE-201                         |
| Thursday                       | 7:30 PM - 8:50 PM              | Livingston                     | LSH-B105                       |
| Tuesday                        | 3:50 PM - 5:10 PM              | Livingston                     | BE-013                         |
| Monday                         | 3:50 PM - 5:10 PM              | Livingston                     | BE-003                         |
| Wednesday                      | 12:10 PM - 1:30 PM             | Livingston                     | LSH-B123                       |
| Monday                         | 12:10 PM - 1:30 PM             | Livingston                     | BRR-5071                       |
| Tuesday                        | 10:20 AM - 11:40 AM            | Livingston                     | BRR-5101                       |
| Wednesday                      | 10:20 AM - 11:40 AM            | Busch                          | ARC-108                        |
| Monday                         | 3:50 PM - 5:10 PM              | Busch                          | SEC-217                        |
| Friday                         | 2:00 PM - 3:20 PM              | Livingston                     | BE-013                         |
| Tuesday                        | 3:50 PM - 5:10 PM              | Busch                          | ARC-205                        |
| Tuesday                        | 2:00 PM - 3:20 PM              | Busch                          | SEC-208                        |
| Wednesday                      | 12:10 PM - 1:30 PM             | Busch                          | ARC-108                        |
| Tuesday                        | 3:50 PM - 5:10 PM              | Livingston                     | LSH-A139                       |
| Thursday                       | 3:50 PM - 5:10 PM              | Livingston                     | TIL-224                        |
