Building/Room       Class Times              Professor Names               
CDL-102             7:30 PM - 8:50 PM        AL-DEWACHI; BODA, MANOHAR     
BIO-205             3:50 PM - 5:10 PM        AL-DEWACHI; BODA, MANOHAR     
CDL-102             5:40 PM - 8:40 PM        AL-DEWACHI                    
BIO-206             10:20 AM - 11:40 AM      CACHEL, SUSAN; RAMILISON      
CDL-102             10:20 AM - 11:40 AM      CACHEL, SUSAN; GAWDE          
BIO-206             10:20 AM - 1:20 PM       CACHEL, SUSAN; RAMILISON      
CDL-102             5:40 PM - 7:00 PM        CACHEL, SUSAN; RAMILISON      
HCK-132             5:40 PM - 7:00 PM        CACHEL, SUSAN; GAWDE          
CDL-102             3:50 PM - 5:10 PM        CACHEL, SUSAN; GAWDE          
BIO-206             3:50 PM - 5:10 PM        OTI, MAHSUN; NAZIMOVA         
CDL-102             10:20 AM - 11:40 AM      OTI, MAHSUN; NAZIMOVA         
BIO-302             10:20 AM - 11:40 AM      OTI, MAHSUN; NAZIMOVA         
CDL-102             5:40 PM - 8:40 PM        NAZIMOVA; NAZIMOVA            
RAB-003             5:40 PM - 8:40 PM        HUGHES, DAVID; SCOTT, ROBERT  
RAB-001             2:00 PM - 3:20 PM        HUGHES, DAVID; SCOTT, ROBERT  
RAB-001             2:00 PM - 3:20 PM        HUGHES, DAVID; SCOTT, ROBERT  
BIO-302             3:50 PM - 6:50 PM        HUGHES, DAVID; SCOTT, ROBERT  
RAB-001             2:00 PM - 3:20 PM        HUGHES, DAVID; SCOTT, ROBERT  
RAB-001             3:50 PM - 5:10 PM        HUGHES, DAVID; SCOTT, ROBERT  
BIO-302             2:00 PM - 3:20 PM        HUGHES, DAVID; SCOTT, ROBERT  
RAB-001             10:20 AM - 11:40 AM      HUGHES, DAVID; SCOTT, ROBERT  
RAB-001             2:00 PM - 3:20 PM        HUGHES, DAVID; SCOTT, ROBERT  
BIO-302             12:10 PM - 1:30 PM       DE JONG, HYLKE                
RAB-001             2:00 PM - 3:20 PM        DAS, REECHA                   
RAB-001             10:20 AM - 11:40 AM      DAS, REECHA                   
BIO-302             2:00 PM - 3:20 PM        SANSEVERE, KERI               
RAB-001             2:00 PM - 3:20 PM        DE JONG, HYLKE                
RAB-001             2:00 PM - 3:20 PM        SCHRIRE, CARMEL               
BIO-302             12:10 PM - 1:30 PM       SCHRIRE, CARMEL               
RAB-001             2:00 PM - 3:20 PM        BATISTE, FRANK                
