Class Name                                        Building/Room       Class Times              Professor Names               
DIRECT INTRN AFR STY                              RAB-001             3:50 PM - 5:10 PM        SIFUENTES-JAURE               
01:016:350                                        RAB-001             3:50 PM - 5:10 PM        SWEET, JAMESON                
LIT &amp; CULT LUSOPH AFRI                        RAB-001             10:20 AM - 1:20 PM       WILLIAMSON                    
01:016:363                                        TIL-103A            10:20 AM - 11:40 AM      ISAAC, ALLAN                  
WOMEN WRITERS OF AFRICA                           FH-B6               10:20 AM - 11:40 AM      ALMIRON                       
01:050:101                                        MI-100              8:30 AM - 9:50 AM        CHAN-MALIK                    
INTRODUCTION TO AMERICAN STUDIES                  MI-100              8:30 AM - 9:50 AM        DECKER                        
01:050:102                                        RAB-105             5:40 PM - 7:00 PM        GILLESPIE                     
INTRODUCTION TO RACE AND ETHNICITY IN AMERICA     HH-B3               5:40 PM - 7:00 PM        KENNEDY, MARIA                
01:050:203                                        HH-B3               5:40 PM - 7:00 PM        LASMANA, VIOLA                
THE AMERICAN WEST                                 HCK-216             5:40 PM - 7:00 PM        MASUR, LOUIS                  
01:050:223                                        HCK-216             12:10 PM - 1:30 PM       SIFUENTES-JAURE               
LEARNING FROM THE PAST: EARLY AMERICA AND THE 21ST CENT..AB-4140             12:10 PM - 1:30 PM       SWEET, JAMESON                
01:050:227                                        AB-4140             3:50 PM - 5:10 PM        WILLIAMSON                    
19TH CENTURY AMERICAN LITERATURE AND CULTURE      AB-4140             3:50 PM - 5:10 PM        CEVASCO, CARLA                
01:050:228                                        RAB-110B            2:00 PM - 3:20 PM        AL-DEWACHI; SARGENT, CIERAH   
THE CONTEMPORARY AMERICAN                         ZAM-MPR             2:00 PM - 3:20 PM        AL-DEWACHI; SARGENT, CIERAH   
01:050:240                                        ZAM-MPR             5:40 PM - 7:00 PM        AL-DEWACHI; SARGENT, CIERAH   
LATINO LITERATURE AND CULTURE                     RAB-018             5:40 PM - 7:00 PM        AL-DEWACHI; BODA, MANOHAR     
01:050:245                                        CDL-102             7:30 PM - 8:50 PM        AL-DEWACHI; BODA, MANOHAR     
ASIAN AMERICAN EXPERIENCE                         CDL-102             3:50 PM - 5:10 PM        AL-DEWACHI; BODA, MANOHAR     
01:050:246                                        CDL-102             5:40 PM - 8:40 PM        AL-DEWACHI                    
THE BLACK EXPERIENCE IN AMERICA                   CDL-102             10:20 AM - 11:40 AM      CACHEL, SUSAN; RAMILISON      
01:050:248                                        CDL-102             10:20 AM - 11:40 AM      CACHEL, SUSAN; GAWDE          
NATIVE AMERICAN EXPERIENCE                        CDL-102             10:20 AM - 1:20 PM       CACHEL, SUSAN; RAMILISON      
01:050:259                                        CDL-102             5:40 PM - 7:00 PM        CACHEL, SUSAN; RAMILISON      
POPULAR CULTURE                                   RAB-001             5:40 PM - 7:00 PM        CACHEL, SUSAN; GAWDE          
01:050:263                                        RAB-001             3:50 PM - 5:10 PM        CACHEL, SUSAN; GAWDE          
AMERICAN FOLKLORE                                 BIO-302             3:50 PM - 5:10 PM        OTI, MAHSUN; NAZIMOVA         
01:050:265                                        RAB-001             10:20 AM - 11:40 AM      OTI, MAHSUN; NAZIMOVA         
AM EXPER FILM &amp; VIDEO                         RAB-001             10:20 AM - 11:40 AM      OTI, MAHSUN; NAZIMOVA         
01:050:282                                        BIO-302             5:40 PM - 8:40 PM        NAZIMOVA; NAZIMOVA            
TOPICS IN AMERICAN STUDIES                        RAB-001             5:40 PM - 8:40 PM        HUGHES, DAVID; SCOTT, ROBERT  
01:050:284                                        RAB-001             2:00 PM - 3:20 PM        HUGHES, DAVID; SCOTT, ROBERT  
TOPICS IN AMERICAN STUDIES                        BIO-302             2:00 PM - 3:20 PM        HUGHES, DAVID; SCOTT, ROBERT  
01:050:286                                        RAB-001             3:50 PM - 6:50 PM        HUGHES, DAVID; SCOTT, ROBERT  
INDEPENDENT STUDY IN AMERICAN CULTURE             RAB-001             2:00 PM - 3:20 PM        HUGHES, DAVID; SCOTT, ROBERT  
01:050:300                                        BIO-302             3:50 PM - 5:10 PM        HUGHES, DAVID; SCOTT, ROBERT  
TOPICS IN AMERICAN STUDIES                        RAB-001             2:00 PM - 3:20 PM        HUGHES, DAVID; SCOTT, ROBERT  
01:050:303                                        RAB-001             10:20 AM - 11:40 AM      HUGHES, DAVID; SCOTT, ROBERT  
THE DECADE IN AMERICAN CULTURE                    BIO-302             2:00 PM - 3:20 PM        HUGHES, DAVID; SCOTT, ROBERT  
01:050:306                                        RAB-001             12:10 PM - 1:30 PM       DE JONG, HYLKE                
AMERICAN DETECTIVE FICTION AND FILM               RAB-001             2:00 PM - 3:20 PM        DAS, REECHA                   
01:050:310                                        BIO-302             10:20 AM - 11:40 AM      DAS, REECHA                   
APPROACHES TO AMERICAN STUDIES                    RAB-001             2:00 PM - 3:20 PM        SANSEVERE, KERI               
01:050:316                                        RAB-001             2:00 PM - 3:20 PM        DE JONG, HYLKE                
TWENTY-FIRST CENTURY EXPRESSION: ON AND OFF THE NETRAB-001             2:00 PM - 3:20 PM        SCHRIRE, CARMEL               
01:050:320                                        RAB-001             12:10 PM - 1:30 PM       SCHRIRE, CARMEL               
AMERICAN LIFE DURING THE COLD WAR                 RAB-001             2:00 PM - 3:20 PM        BATISTE, FRANK                
01:050:322                                        RAB-001             2:00 PM - 3:20 PM        FEIBEL, CRAIG                 
SCIENCE FICTION FILM                              RAB-001             2:00 PM - 3:20 PM        CONZO, DANA                   
01:050:323                                        RAB-001             2:00 PM - 3:20 PM        BIRD, EVAN                    
AMERICAN HORROR                                   RAB-001             3:50 PM - 5:10 PM        FOSTER                        
01:050:324                                        RAB-001             2:00 PM - 3:20 PM        ALI, JAMAL                    
WAYWARD AMERICANS                                 RAB-001             2:00 PM - 3:20 PM        KABRA, ANUJA                  
01:050:351                                        RAB-001             5:40 PM - 7:00 PM        PARVEEN                       
AMER ART 1776-1913                                RAB-001             2:00 PM - 3:20 PM        PAYDAR, FERI                  
01:050:380                                        RAB-001             2:00 PM - 3:20 PM        OZTOPRAK, DILEK               
INTERNSHIP IN AMERICAN STUDIES                    RAB-001             10:20 AM - 11:40 AM      CONZO, DANA                   
01:050:389                                        RAB-001             2:00 PM - 3:20 PM        AL-DEWACHI                    
JUNIOR SEMINAR                                    RAB-001             2:00 PM - 3:20 PM        SCHRIRE, CARMEL               
01:050:391                                        RAB-001             2:00 PM - 3:20 PM        CABANES CRUELLE               
INDEPENDENT STUDY/PROJECT IN AMERICAN CULTURE     RAB-001             2:00 PM - 3:20 PM        NAZIMOVA                      
01:050:491                                        RAB-001             2:00 PM - 3:20 PM        BERG, ULLA                    
INDEPENDENT STUDY/PROJECT IN AMERICAN CULTURE     RAB-001             3:50 PM - 5:10 PM        NAZIMOVA                      
01:050:495                                        RAB-001             2:00 PM - 3:20 PM        DE JONG, HYLKE                
HONORS IN AMERICAN STUDIES                        RAB-001             2:00 PM - 3:20 PM        FRAZIER, BRENDA               
01:070:101                                        RAB-001             3:50 PM - 5:10 PM        DE JONG, HYLKE                
